Region,Building type,Number of rooms,Form of ownership of plot,Year,Information,value
Whole country,Building types total,Total,Own plot,2015,Number,
Whole country,Building types total,Total,Own plot,2015,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2016,Number,
Whole country,Building types total,Total,Own plot,2016,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2017,Number,
Whole country,Building types total,Total,Own plot,2017,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2018,Number,
Whole country,Building types total,Total,Own plot,2018,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2019,Number,
Whole country,Building types total,Total,Own plot,2019,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2020,Number,
Whole country,Building types total,Total,Own plot,2020,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2021,Number,
Whole country,Building types total,Total,Own plot,2021,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2022,Number,
Whole country,Building types total,Total,Own plot,2022,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2023,Number,
Whole country,Building types total,Total,Own plot,2023,Price per square meter (eur/m2),
Whole country,Building types total,Total,Own plot,2024,Number,
Whole country,Building types total,Total,Own plot,2024,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2015,Number,
Whole country,Building types total,Total,Rented plot,2015,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2016,Number,
Whole country,Building types total,Total,Rented plot,2016,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2017,Number,
Whole country,Building types total,Total,Rented plot,2017,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2018,Number,
Whole country,Building types total,Total,Rented plot,2018,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2019,Number,
Whole country,Building types total,Total,Rented plot,2019,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2020,Number,
Whole country,Building types total,Total,Rented plot,2020,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2021,Number,
Whole country,Building types total,Total,Rented plot,2021,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2022,Number,
Whole country,Building types total,Total,Rented plot,2022,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2023,Number,
Whole country,Building types total,Total,Rented plot,2023,Price per square meter (eur/m2),
Whole country,Building types total,Total,Rented plot,2024,Number,
Whole country,Building types total,Total,Rented plot,2024,Price per square meter (eur/m2),
